11037775;445083;486831;250539;3003459;;389681;2070176;10312319;25649488;1114125;6486211;;;513444;413329;2399493;2278348;509190;2314868;251496;256120;;;;1690251;364355;1280237
;14909073;;;534923;;;879356;;;;421785;;;;;;;;;;;;;;;;
;1054885;91407995;;1296454;;;2986760;1774364;1396710;6806345;4248774;;;;754916;;2782383;351149;;;;4749495;;;;;
;;;55566796;4602599;;;1678765;6624724;3452914;782663;4573259;;;;;933659;2016125;1203546;816108;;;;;3411128;2065634;2021132;
4766017;4775610;9920626;12745224;567365856;;5078478;21163833;102787554;38688685;19551012;81985404;;;;7272285;27000465;65583893;14571728;10136032;;;;;6758484;24767623;13089143;14845991
;;;;318633;3786656;;;427905;228249;;352034;229694;128506;;;99600;;;;;;;758200;400962;349440;242653;
255217;;233872;105124;720370;;16263454;437509;10980785;4101034;376085;1890286;;;;136582;300716;378282;293146;2256867;;;;;;8513316;201741;207709
114933;284731;;;841561;;;50162400;141738;393937;;662300;;;;;;;;;;;;;;482883;;
1039069;1169079;463365;196532;3858782;;1402000;579015;562925467;10267883;349238;6792528;;;;679493;1534683;806142;553265;6001492;3399834;;;707965;825712;6030485;928829;1366502
6585836;;957345;462601;7974629;;1883605;7171065;36201754;;2617809;21268131;;;485349;796738;2266288;2769832;2617819;12709638;;;;;908625;10058605;1067144;4776763
;;330858;;4022144;;;;395912;1338596;29767048;1591079;;;;350729;;2125235;;;;550220;;;;;;
538053;;1195583;;4122806;;;3681693;9530688;7356517;4078893;248179072;;;;886113;10380179;3778971;;1901824;;;;;;5104637;;2909608
;;;;593250;438743;;;;;;;7288832;433208;;;;;147095;;;;;;271996;614106;;
129798;142527;75065;561769;1011491;185167;835106;255858;385801;158108;126852;389037;633892;7069085;;;98335;153541;465214;;;48753;51055;90317;522169;3323406;745837;37666
485490;;;79595;929030;;40840;181639;870706;2252050;68553;700741;;;113046;;241890;422215;96013;998162;;;;47084;77270;323913;;330060
782191;149570;1239416;74930;3431009;;75040;449263;400041;911006;1293086;1152808;;;112955;38061996;619464;1900949;248744;79019;835294;19708;692356;77374;368631;930623;113663;795307
6790414;;1939285;1468085;18030573;;683297;6074034;19637797;26182337;2136604;10624716;;;914746;1395249;97202315;9763841;855635;4493102;;;;;1511074;6175753;2085520;2715466
290635;282727;885950;;8308345;;1166842;3919960;3900524;2541240;6689572;10047216;;;;1375111;739241;39239689;378050;544387;435926;831200;289270;;416484;1946065;445367;1021458
982363;1108864;2527805;;17534259;;1249546;4611558;4652337;4670747;5339408;6443244;;1188597;;1032388;6698885;2281870;195473538;;;;1969350;;1905070;9739955;2026473;
294636;;;;383170;;;;3436604;1945646;;504736;;;;;;;;59744431;;;;;;834925;;1266157
;828788;;;459658;;;1413356;963592;;;2800834;;;;742772;;463346;;;64127086;;;;;;;
58929;;71763;;433496;;;289812;293791;300887;7934027;616805;;;;59556;115036;569053;;;;5362018;;;;160655;;104119
;834155;1742054;;;;;;;;4364607;2012604;;;;475533;;645681;;;;;15882234;;;;;
296517;;;914932;2852015;4877625;;1365872;7420983;1725257;703019;1642002;276352;;;361842;885495;407031;250599;695296;;;;82778658;4597166;2009074;735683;356705
;;;;;;;;;;;;;;;;;;;;;;;;;;;
4014254;;5384588;1748709;12843813;329454;12029493;18789381;101730963;58052218;3226992;20507258;1509450;2223019;471265;2608021;7875374;4187839;16569128;18431284;3323682;528910;1261269;1069075;1761320;319937939;2295236;5438557
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;12452472;;;2608303;7625764;11775761;;13116599;;;;;1693327;4354718;;3868409;;;;;;3082103;;26281045
11037775;;;;4766017;;255217;114933;1039069;6585836;;538053;;129798;485490;782191;6790414;290635;982363;294636;;58929;;296517;;4014254;;
445083;14909073;1054885;;4775610;;;284731;1169079;;;;;142527;;149570;;282727;1108864;;828788;;834155;;;;;
486831;;91407995;;9920626;;233872;;463365;957345;330858;1195583;;75065;;1239416;1939285;885950;2527805;;;71763;1742054;;;5384588;;
250539;;;55566796;12745224;;105124;;196532;462601;;;;561769;79595;74930;1468085;;;;;;;914932;;1748709;;
3003459;534923;1296454;4602599;567365856;318633;720370;841561;3858782;7974629;4022144;4122806;593250;1011491;929030;3431009;18030573;8308345;17534259;383170;459658;433496;;2852015;;12843813;;12452472
;;;;;3786656;;;;;;;438743;185167;;;;;;;;;;4877625;;329454;;
389681;;;;5078478;;16263454;;1402000;1883605;;;;835106;40840;75040;683297;1166842;1249546;;;;;;;12029493;;
2070176;879356;2986760;1678765;21163833;;437509;50162400;579015;7171065;;3681693;;255858;181639;449263;6074034;3919960;4611558;;1413356;289812;;1365872;;18789381;;2608303
10312319;;1774364;6624724;102787554;427905;10980785;141738;562925467;36201754;395912;9530688;;385801;870706;400041;19637797;3900524;4652337;3436604;963592;293791;;7420983;;101730963;;7625764
25649488;;1396710;3452914;38688685;228249;4101034;393937;10267883;;1338596;7356517;;158108;2252050;911006;26182337;2541240;4670747;1945646;;300887;;1725257;;58052218;;11775761
